nivel,vazao
49.80,42.00
47.90,41.00
46.00,40.00
49.80,42.00
51.70,43.00
55.50,45.00
59.30,47.00
65.00,50.00
68.80,52.00
72.60,54.00
78.30,57.00
86.00,61.00
92.00,64.00
102.00,69.00
112.00,74.00
124.00,80.00
135.25,85.00
146.50,90.00
157.75,95.00
173.80,102.00
185.80,107.00
202.60,114.00
217.00,120.00
231.70,126.00
243.95,131.00
261.10,138.00
270.80,142.00
287.60,149.00
302.00,155.00
316.50,161.00
324.00,164.00
321.50,163.00
316.50,161.00
306.80,157.00
292.40,151.00
275.60,144.00
256.20,136.00
234.15,127.00
209.80,117.00
190.60,109.00
164.50,98.00
139.75,87.00
120.00,78.00
96.00,66.00
82.10,59.00
63.10,49.00
55.50,45.00
42.40,38.00
37.00,35.00
29.80,31.00
24.40,28.00
22.60,27.00
17.20,24.00
17.20,24.00
22.60,27.00
29.80,31.00
37.00,35.00
42.40,38.00
49.80,42.00
53.60,44.00
57.40,46.00
61.20,48.00
66.90,51.00
72.60,54.00
78.30,57.00
84.00,60.00
90.00,63.00
98.00,67.00
106.00,71.00
114.00,75.00
124.00,80.00
135.25,85.00
144.25,89.00
155.50,94.00
164.50,98.00
176.20,103.00
185.80,107.00
197.80,112.00
207.40,116.00
219.45,121.00
221.90,122.00
236.60,128.00
229.25,125.00
239.05,129.00
229.25,125.00
231.70,126.00
217.00,120.00
212.20,118.00
193.00,110.00
185.80,107.00
162.25,97.00
153.25,93.00
128.50,82.00
118.00,77.00
100.00,68.00
90.00,63.00
78.30,57.00
70.70,53.00
65.00,50.00
61.20,48.00
61.20,48.00
61.20,48.00
63.10,49.00
66.90,51.00
70.70,53.00
74.50,55.00
78.30,57.00
84.00,60.00
88.00,62.00
94.00,65.00
98.00,67.00
106.00,71.00
114.00,75.00
122.00,79.00
128.50,82.00
139.75,87.00
146.50,90.00
157.75,95.00
169.00,100.00
183.40,106.00
193.00,110.00
205.00,115.00
214.60,119.00
229.25,125.00
239.05,129.00
256.20,136.00
263.55,139.00
278.00,145.00
287.60,149.00
290.00,150.00
297.20,153.00
285.20,148.00
282.80,147.00
270.80,142.00
263.55,139.00
241.50,130.00
226.80,124.00
202.60,114.00
178.60,104.00
153.25,93.00
124.00,80.00
108.00,72.00
88.00,62.00
74.50,55.00
61.20,48.00
55.50,45.00
49.80,42.00
47.90,41.00
42.40,38.00
46.00,40.00
46.00,40.00
44.20,39.00
46.00,40.00
47.90,41.00
49.80,42.00
51.70,43.00
53.60,44.00
55.50,45.00
59.30,47.00
63.10,49.00
66.90,51.00
70.70,53.00
74.50,55.00
78.30,57.00
84.00,60.00
88.00,62.00
94.00,65.00
102.00,69.00
108.00,72.00
114.00,75.00
120.00,78.00
124.00,80.00
133.00,84.00
135.25,85.00
146.50,90.00
148.75,91.00
157.75,95.00
162.25,97.00
164.50,98.00
171.40,101.00
171.40,101.00
176.20,103.00
178.60,104.00
173.80,102.00
178.60,104.00
169.00,100.00
160.00,96.00
153.25,93.00
139.75,87.00
128.50,82.00
120.00,78.00
102.00,69.00
96.00,66.00
82.10,59.00
74.50,55.00
68.80,52.00
