vazao,nivel
1.79,5
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.79,5
1.7,4
1.79,5
1.79,5
1.7,4
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.7,4
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.89,6
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.89,6
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.98,7
1.98,7
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.98,7
1.98,7
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.19,9
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.19,9
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.3,10
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.3,10
2.3,10
2.19,9
2.19,9
2.19,9
2.3,10
2.3,10
2.3,10
2.19,9
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.19,9
2.19,9
2.19,9
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.41,11
2.3,10
2.3,10
2.3,10
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.53,12
2.41,11
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.53,12
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.64,13
2.77,14
2.64,13
2.77,14
2.64,13
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.77,14
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
2.89,15
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.02,16
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.16,17
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.3,18
3.44,19
3.44,19
3.44,19
3.44,19
3.44,19
3.44,19
3.44,19
3.44,19
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.58,20
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.73,21
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
3.89,22
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.05,23
4.21,24
4.21,24
4.21,24
4.21,24
4.21,24
4.21,24
4.21,24
4.21,24
4.38,25
4.38,25
4.38,25
4.38,25
4.38,25
4.38,25
4.55,26
4.55,26
4.55,26
4.55,26
4.55,26
4.55,26
4.72,27
4.72,27
4.72,27
4.72,27
4.72,27
4.72,27
4.9,28
4.9,28
4.9,28
4.9,28
4.9,28
4.9,28
5.09,29
5.09,29
5.09,29
5.09,29
5.09,29
5.09,29
5.09,29
5.09,29
5.28,30
5.28,30
5.28,30
5.28,30
5.28,30
5.28,30
5.28,30
5.28,30
5.28,30
5.47,31
5.47,31
5.47,31
5.47,31
5.47,31
5.47,31
5.47,31
5.47,31
5.67,32
5.67,32
5.67,32
5.67,32
5.67,32
5.87,33
5.87,33
5.87,33
5.87,33
5.87,33
5.87,33
5.87,33
5.87,33
5.87,33
5.87,33
6.08,34
6.08,34
6.08,34
6.08,34
6.08,34
6.29,35
6.29,35
6.29,35
6.29,35
6.51,36
6.51,36
6.51,36
6.51,36
6.74,37
6.74,37
6.74,37
6.96,38
6.96,38
6.96,38
7.2,39
7.2,39
7.43,40
7.43,40
7.43,40
7.68,41
7.68,41
7.93,42
7.93,42
8.18,43
8.44,44
8.44,44
8.71,45
8.98,46
8.98,46
9.25,47
9.25,47
9.53,48
9.82,49
9.82,49
10.11,50
10.41,51
10.41,51
11.03,53
11.03,53
11.35,54
11.67,55
11.67,55
12,56
12.67,58
13.02,59
13.02,59
13.37,60
14.1,62
14.1,62
14.85,64
15.24,65
15.63,66
16.03,67
16.44,68
16.85,69
17.27,70
17.69,71
18.13,72
19.02,74
19.47,75
20.4,77
20.4,77
20.88,78
21.36,79
21.36,79
21.86,80
21.86,80
21.36,79
20.88,78
20.88,78
20.88,78
20.4,77
19.02,74
17.69,71
17.27,70
16.85,69
16.85,69
16.44,68
13.73,61
12,56
11.67,55
11.35,54
10.72,52
8.98,46
6.74,37
5.28,30
4.72,27
4.55,26
4.55,26
4.38,25
4.21,24
4.05,23
3.89,22
3.89,22
3.73,21
3.73,21
3.58,20
3.44,19
3.44,19
3.3,18
3.16,17
3.02,16
3.02,16
2.89,15
2.89,15
2.77,14
2.64,13
2.64,13
2.53,12
2.53,12
2.53,12
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.3,10
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.41,11
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.3,10
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.19,9
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
2.09,8
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.7,4
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.7,4
1.79,5
1.79,5
1.79,5
1.79,5
1.7,4
1.7,4
1.7,4
1.7,4
1.79,5
1.79,5
1.7,4
1.7,4
1.79,5
1.7,4
1.79,5
1.79,5
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.79,5
1.79,5
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.7,4
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
